symbol,quantity,algo,open_px,notional
UTL,0.0,VWAP,54.310001373291016,0.0
RTX,0.0,VWAP,223.47000122070312,0.0
UVV,-1.0,VWAP,45.560001373291016,-45.560001373291016
VMI,0.0,VWAP,495.239990234375,0.0
VECO,0.0,VWAP,52.9900016784668,0.0
VFC,5.0,VWAP,14.729999542236328,73.64999771118164
VLO,0.0,VWAP,327.92999267578125,0.0
VMC,0.0,VWAP,281.92999267578125,0.0
VNO,0.0,VWAP,39.400001525878906,0.0
VSEC,0.0,VWAP,244.52999877929688,0.0
VSH,0.0,VWAP,33.54999923706055,0.0
WAB,0.0,VWAP,296.4100036621094,0.0
WASH,0.0,VWAP,39.58000183105469,0.0
WBS,0.0,VWAP,79.3499984741211,0.0
WDC,0.0,VWAP,453.1300048828125,0.0
WDFC,0.0,VWAP,234.9199981689453,0.0
WEC,0.0,VWAP,109.27999877929688,0.0
WERN,0.0,VWAP,38.220001220703125,0.0
WFC,0.0,VWAP,89.36000061035156,0.0
WAFD,0.0,VWAP,37.95000076293945,0.0
WGO,0.0,VWAP,32.18000030517578,0.0
BRO,0.0,VWAP,71.63999938964844,0.0
WHR,0.0,VWAP,43.36000061035156,0.0
WMB,0.0,VWAP,73.5,0.0
WM,0.0,VWAP,227.58999633789062,0.0
WMK,0.0,VWAP,72.61000061035156,0.0
WMT,0.0,VWAP,116.16999816894531,0.0
WSBC,0.0,VWAP,42.7599983215332,0.0
WSFS,0.0,VWAP,81.63999938964844,0.0
WST,0.0,VWAP,353.54998779296875,0.0
WWW,0.0,VWAP,19.6200008392334,0.0
WY,1.0,VWAP,24.84000015258789,24.84000015258789
XRAY,8.0,VWAP,11.4399995803833,91.5199966430664
ZION,0.0,VWAP,71.98999786376953,0.0
FDS,0.0,VWAP,277.760009765625,0.0
CDP,0.0,VWAP,37.18000030517578,0.0
ATS,-3.0,VWAP,20.399999618530273,-61.19999885559082
BLDP,53.0,VWAP,2.5999999046325684,137.79999494552612
BMO,0.0,VWAP,184.44000244140625,0.0
BNS,0.0,VWAP,90.5,0.0
CAE,0.0,VWAP,28.079999923706055,0.0
CCJ,0.0,VWAP,98.5,0.0
CM,0.0,VWAP,121.7699966430664,0.0
CNQ,1.0,VWAP,46.959999084472656,46.959999084472656
EGO,0.0,VWAP,38.84000015258789,0.0
SU,0.0,VWAP,63.40999984741211,0.0
FTK,-1.0,VWAP,37.0099983215332,-37.0099983215332
FTS,0.0,VWAP,56.400001525878906,0.0
GIB,0.0,VWAP,74.11000061035156,0.0
TFC,0.0,VWAP,53.0,0.0
TTEK,0.0,VWAP,35.43000030517578,0.0
DGII,0.0,VWAP,85.30000305175781,0.0
IMAX,0.0,VWAP,51.56999969482422,0.0
EOG,0.0,VWAP,141.02000427246094,0.0
