ticker,quantity,algo,infocode
TSCO,1,VWAP,54849
BCRX,5,VWAP,53849
JOE,0,VWAP,65057
STC,0,VWAP,49588
AKR,0,VWAP,70312
NSIT,0,VWAP,68067
MOS,0,VWAP,52840
GFF,0,VWAP,49972
SON,0,VWAP,62445
CPRT,2,VWAP,55369
USLM,0,VWAP,63826
EIX,0,VWAP,69660
DAKT,0,VWAP,70356
RYN,0,VWAP,60530
DCOM,0,VWAP,72001
CAH,0,VWAP,57151
LMT,0,VWAP,71049
CRL,0,VWAP,54173
AEO,3,VWAP,72380
CWT,0,VWAP,54195
MLM,0,VWAP,70848
CLDX,0,VWAP,61597
CVLT,0,VWAP,52420
JBL,0,VWAP,67477
NKTR,0,VWAP,52236
RMBS,0,VWAP,64972
LKFN,0,VWAP,57734
SCSC,0,VWAP,50784
FMNB,0,VWAP,66700
MTB,0,VWAP,65141
ALB,0,VWAP,51906
HBNC,0,VWAP,55914
PB,0,VWAP,62930
AXTI,0,VWAP,66771
SMTC,0,VWAP,63119
EXP,0,VWAP,57255
LNG,0,VWAP,71388
CCI,0,VWAP,67855
BHC,22,VWAP,57140
AGCO,0,VWAP,51612
OIS,-1,VWAP,59629
MPT,37,VWAP,68049
SMBC,0,VWAP,60294
HIW,0,VWAP,60755
RPM,0,VWAP,62376
RBCAA,0,VWAP,52266
PRK,0,VWAP,64462
VET,2,VWAP,66469
ISRG,0,VWAP,72234
SLF,0,VWAP,62437
WABC,0,VWAP,57774
UMBF,0,VWAP,63779
AKAM,0,VWAP,65726
ALG,0,VWAP,49754
CALM,0,VWAP,70469
ABCB,0,VWAP,52516
PENN,2,VWAP,49991
GBX,0,VWAP,61349
ESS,0,VWAP,66088
RS,0,VWAP,62379
MATW,-4,VWAP,54068
SVC,4,VWAP,65505
FR,0,VWAP,52364
WSO,0,VWAP,59441
ADP,0,VWAP,59819
CME,0,VWAP,63180
MFA,5,VWAP,64644
TSN,0,VWAP,65056
COHU,0,VWAP,49764
O,0,VWAP,59888
NSP,0,VWAP,68019
BKNG,0,VWAP,70064
CVLG,0,VWAP,66114
LGND,0,VWAP,50057
JPM,0,VWAP,64084
IDCC,0,VWAP,51155
AZTA,-2,VWAP,52411
HOPE,0,VWAP,60275
MCK,0,VWAP,59804
SYK,0,VWAP,60724
MOV,0,VWAP,51352
CRK,0,VWAP,54172
LCII,0,VWAP,63963
MYRG,0,VWAP,153451
HNRG,-3,VWAP,60819
NLY,2,VWAP,59919
MT,0,VWAP,52860
AFG,0,VWAP,51345
WLY,0,VWAP,68208
LAMR,0,VWAP,69570
THG,0,VWAP,50311
SENEA,0,VWAP,62246
EL,0,VWAP,63988
NWPX,0,VWAP,56803
AQN,26,VWAP,216135
NTAP,0,VWAP,50106
CVSA,0,VWAP,50159
DHI,0,VWAP,70270
CBZ,0,VWAP,63144
WAT,0,VWAP,70122
BMY,0,VWAP,69664
MIDD,0,VWAP,68519
TGTX,0,VWAP,64239
KAI,0,VWAP,64099
CXW,-1,VWAP,51697
HIG,0,VWAP,71540
BCO,0,VWAP,57051
INCY,0,VWAP,61214
CORT,0,VWAP,68214
MKTX,0,VWAP,55438
WINA,0,VWAP,59568
IOSP,0,VWAP,64660
UTHR,0,VWAP,71484
GEF,0,VWAP,65103
CAR,0,VWAP,68262
IAG,2,VWAP,69368
HUBG,-1,VWAP,62098
FIS,0,VWAP,66158
NBIX,0,VWAP,50425
GVA,0,VWAP,63678
CNI,0,VWAP,64935
ATI,0,VWAP,49895
COR,0,VWAP,71055
LNT,0,VWAP,72902
FICO,0,VWAP,50201
GPK,5,VWAP,50947
BRK.A,0,VWAP,72983
BRK.B,0,VWAP,71571
STRA,0,VWAP,59559
COLM,0,VWAP,71386
NYT,0,VWAP,62293
VIAV,0,VWAP,55196
OCFC,0,VWAP,56842
PEGA,1,VWAP,64877
BELFB,0,VWAP,64677
WTFC,0,VWAP,54676
MTZ,0,VWAP,69690
PAG,0,VWAP,64106
KWR,0,VWAP,67155
CNXN,0,VWAP,54580
ASTH,0,VWAP,50511
MD,-2,VWAP,49524
HEI.A,0,VWAP,66753
ANF,0,VWAP,64271
BJRI,0,VWAP,59041
MBWM,0,VWAP,67551
HLX,5,VWAP,55723
PRU,0,VWAP,56592
FSM,4,VWAP,255429
PAA,1,VWAP,66806
STLD,0,VWAP,60138
VSAT,0,VWAP,69598
MCY,0,VWAP,60219
FSLR,0,VWAP,55819
CHH,0,VWAP,68447
HLIO,0,VWAP,66982
PLUS,0,VWAP,67055
ROP,0,VWAP,62372
ABG,0,VWAP,60413
BLKB,0,VWAP,59063
EBAY,0,VWAP,49443
KRC,0,VWAP,66988
ALL,0,VWAP,51789
BLDR,0,VWAP,59060
EXPO,0,VWAP,69887
GEL,-5,VWAP,67060
CLS,0,VWAP,70005
UAMY,22,VWAP,68404
RSG,0,VWAP,60731
BBDC,-2,VWAP,
DCH,21,VWAP,64308
ANIP,-1,VWAP,57112
NEO,2,VWAP,52798
EEFT,0,VWAP,67070
DXPE,0,VWAP,71590
FIBK,0,VWAP,230074
MTH,0,VWAP,52864
CTBI,0,VWAP,69836
LEU,0,VWAP,64130
VYX,8,VWAP,60520
UUUU,2,VWAP,55115
DGX,0,VWAP,54221
SSB,0,VWAP,69543
OFG,0,VWAP,64453
TMP,0,VWAP,59581
ACIW,0,VWAP,61437
COST,0,VWAP,60727
ORA,0,VWAP,61593
LEVI,1,VWAP,315739
EPD,0,VWAP,71454
AZZ,0,VWAP,68509
CEVA,-1,VWAP,72671
PFBC,0,VWAP,52399
INSM,0,VWAP,68958
UCB,0,VWAP,66281
ORRF,0,VWAP,52254
AWR,0,VWAP,64306
VTR,0,VWAP,60151
RL,0,VWAP,67102
TTWO,0,VWAP,52243
BXP,0,VWAP,72846
MS,0,VWAP,52853
JBLU,31,VWAP,66265
ALV,0,VWAP,61387
SLG,0,VWAP,65012
MKL,0,VWAP,51637
DNN,74,VWAP,74137
ACAD,0,VWAP,65849
PBA,0,VWAP,242609
CNP,0,VWAP,59973
AEHR,0,VWAP,67131
PRAA,-1,VWAP,72676
FIX,0,VWAP,57281
ORKA,0,VWAP,56766
OSIS,0,VWAP,49584
AXON,0,VWAP,50421
AORT,-1,VWAP,54176
FLS,0,VWAP,57284
DVA,0,VWAP,63962
EPR,0,VWAP,60186
CWST,0,VWAP,53876
CHRW,0,VWAP,69564
TREX,0,VWAP,54420
ASM,11,VWAP,58562
PSMT,0,VWAP,59880
IONS,0,VWAP,71316
DAR,0,VWAP,49941
RCAT,6,VWAP,60426
MTD,0,VWAP,52862
LNN,0,VWAP,57475
INVX,-3,VWAP,54255
SSD,0,VWAP,66086
CSR,-1,VWAP,68473
MKSI,0,VWAP,55433
SNDA,-1,VWAP,52164
IDR,-1,VWAP,52825
MRCY,0,VWAP,52036
LWLG,14,VWAP,59490
SYBT,0,VWAP,53106
AYI,0,VWAP,64309
RMD,0,VWAP,56662
MHK,0,VWAP,71685
URI,0,VWAP,60836
INGR,0,VWAP,66714
BUSE,0,VWAP,54997
RWT,18,VWAP,62385
HFWA,0,VWAP,55952
NHC,0,VWAP,49497
EXC,0,VWAP,49381
DSGX,0,VWAP,61930
RVTY,0,VWAP,52070
RBA,0,VWAP,56625
CNO,0,VWAP,52167
CRAI,0,VWAP,66761
VRSK,0,VWAP,215062
HZO,-1,VWAP,55761
