symbol,quantity,algo,open_px
SPB,0,VWAP,91.000000
DVN,1,VWAP,42.950001
PRIM,0,VWAP,83.419998
NWBI,5,VWAP,15.800000
KRG,1,VWAP,27.500000
BBBY,17,VWAP,4.950000
ATEC,4,VWAP,9.550000
AMKR,0,VWAP,52.189999
COF,0,VWAP,221.380005
CDNS,0,VWAP,335.540009
TECH,1,VWAP,72.089996
MEOH,0,VWAP,51.770000
BIIB,0,VWAP,208.750000
CHE,0,VWAP,551.739990
NEOG,4,VWAP,11.450000
LXU,3,VWAP,9.710000
CRUS,0,VWAP,122.150002
ETR,0,VWAP,107.949997
WPC,0,VWAP,72.919998
IEX,0,VWAP,237.779999
VZ,0,VWAP,47.200001
CHDN,0,VWAP,88.059998
CVX,0,VWAP,188.970001
AUPH,0,VWAP,15.930000
ARCB,0,VWAP,140.470001
VRTX,0,VWAP,490.910004
STBA,0,VWAP,52.900002
PEP,0,VWAP,140.089996
AES,23,VWAP,14.700000
UPBD,0,VWAP,20.000000
BELFA,0,VWAP,230.740005
MGM,0,VWAP,44.410000
LSCC,0,VWAP,125.669998
ARE,0,VWAP,50.849998
NPKI,0,VWAP,13.630000
AAON,0,VWAP,92.050003
CFR,0,VWAP,167.580002
KOPN,22,VWAP,3.850000
ITRI,0,VWAP,104.889999
AMG,0,VWAP,376.649994
PTC,0,VWAP,138.240005
WPM,0,VWAP,121.870003
GSBC,0,VWAP,82.099998
GIII,0,VWAP,36.619999
MMS,-1,VWAP,57.900002
GHC,0,VWAP,1221.199951
WRLD,0,VWAP,190.759995
CSCO,0,VWAP,121.480003
NOV,0,VWAP,19.820000
GBCI,0,VWAP,50.650002
TRMK,0,VWAP,48.939999
STN,0,VWAP,72.830002
XPEL,-1,VWAP,50.430000
VICR,0,VWAP,213.190002
SSRM,0,VWAP,28.340000
ELV,0,VWAP,391.829987
UDR,0,VWAP,38.830002
SRPT,2,VWAP,16.660000
MMSI,0,VWAP,87.250000
L,0,VWAP,116.800003
M,2,VWAP,25.770000
ICFI,0,VWAP,86.300003
SKE,0,VWAP,30.030001
BHE,0,VWAP,83.650002
PRDO,0,VWAP,32.700001
ORI,0,VWAP,43.750000
STAA,0,VWAP,22.799999
PRGS,0,VWAP,41.520000
ESE,0,VWAP,327.420013
DY,0,VWAP,406.670013
SWBI,1,VWAP,14.820000
NOVT,0,VWAP,169.500000
MXL,0,VWAP,65.900002
WTS,0,VWAP,384.290009
NKE,1,VWAP,42.520000
MU,0,VWAP,843.109985
RGA,0,VWAP,239.250000
AMRC,0,VWAP,25.540001
CATY,0,VWAP,64.589996
CECO,0,VWAP,67.860001
MLI,0,VWAP,69.389999
KKR,0,VWAP,106.019997
REGN,0,VWAP,777.849976
TEX,0,VWAP,66.070000
AMN,-2,VWAP,32.750000
AZO,0,VWAP,3095.000000
ENB,0,VWAP,52.430000
HNI,0,VWAP,48.680000
HAE,0,VWAP,85.769997
VOYA,0,VWAP,100.699997
BOH,0,VWAP,79.080002
AVNT,-1,VWAP,40.000000
EZPW,-1,VWAP,28.540001
ABUS,45,VWAP,4.570000
ADC,0,VWAP,76.519997
HSIC,0,VWAP,90.029999
UHS,0,VWAP,173.389999
HWC,0,VWAP,78.779999
MTG,0,VWAP,30.650000
RHP,0,VWAP,126.180000
OSK,0,VWAP,153.770004
ZBRA,0,VWAP,367.519989
CNC,0,VWAP,67.250000
USB,0,VWAP,64.720001
THFF,0,VWAP,82.900002
FHI,0,VWAP,64.160004
INTU,0,VWAP,319.700012
BOKF,0,VWAP,145.399994
UHAL,0,VWAP,74.910004
ADT,20,VWAP,7.710000
SLGN,0,VWAP,42.860001
QCOM,0,VWAP,155.419998
GEO,0,VWAP,31.219999
SM,1,VWAP,30.600000
HPQ,1,VWAP,28.379999
NHI,0,VWAP,75.529999
UNH,0,VWAP,415.269989
JBSS,0,VWAP,85.459999
ODFL,0,VWAP,213.809998
OPCH,0,VWAP,23.770000
VCEL,0,VWAP,45.180000
NBTB,0,VWAP,53.560001
WOR,0,VWAP,59.150002
PZZA,0,VWAP,27.080000
GILD,0,VWAP,133.990005
AEG,12,VWAP,9.520000
CNOB,1,VWAP,33.529999
UVSP,-1,VWAP,44.529999
SVM,2,VWAP,10.680000
IBOC,0,VWAP,76.400002
WWD,0,VWAP,375.769989
NNN,0,VWAP,48.009998
DLTR,0,VWAP,129.899994
SCCO,0,VWAP,194.800003
EXTR,0,VWAP,25.790001
KIM,2,VWAP,25.030001
FCF,-1,VWAP,21.879999
FMBH,0,VWAP,52.590000
AMSC,-1,VWAP,29.639999
CALY,0,VWAP,18.709999
THC,0,VWAP,264.149994
LAZ,0,VWAP,43.900002
ICUI,0,VWAP,167.279999
EFOR,0,VWAP,31.250000
KSS,1,VWAP,19.480000
CAKE,0,VWAP,105.019997
MANH,0,VWAP,190.970001
USPH,0,VWAP,75.580002
EQR,0,VWAP,67.750000
COLB,0,VWAP,31.639999
SBUX,0,VWAP,106.139999
C,0,VWAP,138.339996
BRKL,49,VWAP,26.100000
OHI,0,VWAP,49.240002
HLIT,4,VWAP,11.860000
LTC,0,VWAP,38.459999
CUZ,0,VWAP,31.049999
POWI,0,VWAP,61.529999
LFUS,0,VWAP,460.329987
RDNT,-1,VWAP,67.970001
BANF,0,VWAP,114.760002
CENX,0,VWAP,46.669998
BZH,-2,VWAP,33.770000
MFC,0,VWAP,45.000000
FBP,0,VWAP,29.309999
BMRN,-1,VWAP,60.459999
EGY,18,VWAP,5.140000
FTNT,0,VWAP,160.070007
PEBO,0,VWAP,41.860001
AEM,0,VWAP,163.039993
PCRX,-1,VWAP,24.900000
OPY,0,VWAP,116.519997
PRSU,0,VWAP,52.599998
SPG,0,VWAP,226.610001
MCHP,0,VWAP,76.620003
MAR,0,VWAP,362.010010
ATR,0,VWAP,138.619995
TCBK,0,VWAP,58.740002
SAFT,0,VWAP,103.500000
ORLY,0,VWAP,93.680000
OBK,0,VWAP,55.169998
BFH,0,VWAP,113.120003
UFPT,0,VWAP,322.059998
BFC,0,VWAP,157.449997
CIGI,0,VWAP,101.500000
MKC,0,VWAP,52.900002
UNFI,0,VWAP,48.770000
VRSN,0,VWAP,293.820007
GABC,0,VWAP,51.330002
SKT,0,VWAP,40.549999
CTAS,0,VWAP,202.860001
BBSI,-1,VWAP,35.029999
REX,-1,VWAP,44.180000
BYD,0,VWAP,84.400002
ZBH,0,VWAP,98.800003
INOD,0,VWAP,67.879997
MCRI,0,VWAP,122.389999
XEL,0,VWAP,77.980003
BWA,0,VWAP,66.419998
CP,0,VWAP,91.389999
CLSK,6,VWAP,13.090000
ALNY,0,VWAP,228.580002
CASH,0,VWAP,89.970001
ROCK,0,VWAP,54.130001
AUB,0,VWAP,43.400002
PTEN,9,VWAP,9.810000
DECK,0,VWAP,99.019997
UFPI,0,VWAP,92.570000
LXP,0,VWAP,60.680000
VLY,3,VWAP,14.800000
REG,0,VWAP,79.730003
BX,0,VWAP,136.270004
URBN,0,VWAP,77.820000
WEN,8,VWAP,7.840000
FFIN,0,VWAP,35.560001
MAC,0,VWAP,25.010000
MHO,0,VWAP,151.929993
OSBC,0,VWAP,25.990000
SUI,0,VWAP,121.680000
PII,0,VWAP,72.919998
MAA,0,VWAP,137.000000
AVB,0,VWAP,191.690002
ODC,0,VWAP,99.180000
SHOO,0,VWAP,48.959999
GIL,0,VWAP,58.400002
CG,0,VWAP,49.680000
EMN,0,VWAP,73.809998
YUM,0,VWAP,152.669998
UMH,-3,VWAP,15.460000
IART,3,VWAP,17.600000
TSCO,1,VWAP,33.889999
BCRX,5,VWAP,9.040000
JOE,0,VWAP,65.389999
STC,0,VWAP,69.029999
AKR,0,VWAP,21.580000
NSIT,0,VWAP,142.199997
MOS,0,VWAP,23.000000
GFF,0,VWAP,104.050003
SON,0,VWAP,58.459999
CPRT,2,VWAP,28.870001
USLM,0,VWAP,117.599998
EIX,0,VWAP,69.099998
DAKT,0,VWAP,22.070000
RYN,0,VWAP,22.070000
DCOM,0,VWAP,41.860001
CAH,0,VWAP,244.009995
LMT,0,VWAP,584.309998
CRL,0,VWAP,264.890015
AEO,3,VWAP,17.740000
CWT,0,VWAP,50.099998
MLM,0,VWAP,554.599976
CLDX,0,VWAP,41.119999
CVLT,0,VWAP,132.399994
JBL,0,VWAP,336.579987
NKTR,0,VWAP,72.660004
RMBS,0,VWAP,94.540001
LKFN,0,VWAP,63.400002
SCSC,0,VWAP,56.880001
FMNB,0,VWAP,16.020000
MTB,0,VWAP,254.000000
ALB,0,VWAP,127.730003
HBNC,0,VWAP,20.820000
PB,0,VWAP,75.519997
AXTI,0,VWAP,69.080002
SMTC,0,VWAP,119.739998
EXP,0,VWAP,218.460007
LNG,0,VWAP,267.570007
CCI,0,VWAP,75.029999
BHC,22,VWAP,6.350000
AGCO,0,VWAP,104.279999
OIS,-1,VWAP,8.480000
MPT,37,VWAP,4.690000
SMBC,0,VWAP,77.970001
HIW,0,VWAP,32.730000
RPM,0,VWAP,116.989998
RBCAA,0,VWAP,100.919998
PRK,0,VWAP,210.250000
VET,2,VWAP,10.840000
ISRG,0,VWAP,374.390015
SLF,0,VWAP,82.440002
WABC,0,VWAP,60.500000
UMBF,0,VWAP,147.410004
AKAM,0,VWAP,116.599998
ALG,0,VWAP,169.190002
CALM,0,VWAP,85.800003
ABCB,0,VWAP,89.570000
PENN,2,VWAP,20.010000
GBX,0,VWAP,50.209999
ESS,0,VWAP,290.000000
RS,0,VWAP,422.970001
MATW,-4,VWAP,27.469999
SVC,4,VWAP,7.960000
FR,0,VWAP,64.680000
WSO,0,VWAP,331.630005
ADP,0,VWAP,271.160004
CME,0,VWAP,266.109985
